"id","Category_id","Supplier_id","Name","image","Unit_id","Subunit_id","Contains","subunit_replenish_qty","Buying_price","Discount","Price","Opening_stock","Quantity","Restock_Level","Created_at","Updated_at"
97,3,1,"Cherry Tomatoes","1648566055.png",9,1,0,0,20,0,80,2,0,1,"2022-03-29 10:00:55","2022-04-06 14:15:57"
98,4,3,"Fat Kilogram(s)","1648631301.png",10,1,0,0,20,0,80,4.6,0,1,"2022-03-30 04:08:21","2023-01-10 14:36:16"
99,3,1,"Saga Bunch(es)","1648637984.png",17,1,0,0,5,0,20,15,0,1,"2022-03-30 05:59:44","2022-09-01 01:43:18"
101,3,1,"Mchicha Bunch(es)","1648638221.png",17,1,0,0,2,0,20,13,6,1,"2022-03-30 06:03:41","2022-04-13 06:47:47"
103,6,7,"Lemons (Big) Pieces","1648715082.png",13,1,0,0,5,0,10,1,0,1,"2022-03-31 03:24:42","2023-04-29 07:38:15"
104,3,7,"Plantains Kilogram(s)","1648921812.png",10,1,0,0,150,0,260,14.5,2.81055,1,"2022-04-02 12:50:12","2023-05-31 08:44:49"
105,7,1,"Ugali Fish (For 1)","1648986794.png",1,1,0,0,290,0,500,1,0,1,"2022-04-03 06:53:14","2023-01-15 06:28:02"
106,6,7,"MANGO Pieces","1649162263.png",13,1,0,0,25,0,30,7,15,7,"2022-04-05 07:37:43","2023-02-01 08:15:07"
107,6,7,"WATER MELON Pieces","1649162454.png",13,1,0,0,50,0,150,1,0,1,"2022-04-05 07:40:54","2022-09-01 01:41:36"
108,3,7,"onion Kilogram(s)","1649243371.png",10,1,0,0,90,0,130,20,50.8992,1,"2022-04-06 06:09:31","2023-06-13 13:19:10"
109,3,7,"Okra Piece(s)","1649249999.png",13,1,0,0,10,0,20,5,43,0,"2022-04-06 07:59:59","2023-06-12 12:55:13"
110,3,7,"Cayenne Chili Bundles","1649615889.png",14,1,0,0,50,0,100,6,0,1,"2022-04-10 13:38:09","2022-09-01 01:41:19"
111,6,7,"Tree Tomato Kilogram(s)","1649684499.png",10,1,0,0,45,0,100,10,0,1,"2022-04-11 08:41:39","2022-09-01 01:41:14"
112,1,1,"Chicken Thighs Kg(s)","1649848124.png",10,1,0,0,440,0,650,1.79,0.8,1,"2022-04-13 06:08:44","2023-05-31 05:45:14"
113,3,1,"Managu Bunches","1649850331.png",17,1,0,0,5,0,20,5,0,1,"2022-04-13 06:45:31","2022-04-13 06:47:47"
114,1,1,"Chicken Wings Kg(s)","1649851108.png",10,1,0,0,197,0,650,0.65,1.8,1,"2022-04-13 06:58:28","2023-06-01 08:04:38"
115,1,1,"Chicken Breasts Kg(s)","1649852604.png",10,1,0,0,300,0,700,2,3.75692,1,"2022-04-13 07:23:24","2023-05-31 08:08:12"
116,4,7,"Goat Meat Kg(s)","1650013510.png",10,1,0,0,500,0,700,12,7.42288,0,"2022-04-15 04:05:10","2023-06-13 12:51:18"
117,7,1,"Ugali Chicken (for 3)","1650099207.png",18,1,0,0,500,0,1106,1,0,0,"2022-04-16 03:53:27","2022-12-26 10:01:55"
119,4,8,"Goat Matumbo Kg(s)","1650632730.png",10,1,0,0,150,0,350,1.9,0,0,"2022-04-22 08:05:30","2023-01-10 14:35:47"
120,3,7,"Capsicum(s) (Medium)","1650879600.png",13,1,0,0,10,0,20,9,17.75,0,"2022-04-25 04:40:00","2023-06-13 12:07:18"
121,3,7,"Kunde Bunches","1651239790.png",17,1,0,0,7,0,20,8,11,1,"2022-04-29 08:43:10","2022-04-29 13:34:01"
122,3,7,"Cucumber Pieces","1651337069.png",13,1,0,0,30,0,40,5,13.8333,0,"2022-04-30 11:44:29","2023-06-12 12:35:25"
123,3,7,"Red/Yel Caps Sm Pc(s)","1651578803.png",13,1,0,0,60,0,80,5,15.1929,0,"2022-05-03 06:53:23","2023-06-13 12:48:21"
125,3,7,"Egg plant Piece(s)","1651579329.png",13,1,0,0,14,0,25,14,0,0,"2022-05-03 07:02:09","2022-09-01 01:40:12"
126,6,7,"Matoke Pieces","1652889464.png",13,1,0,0,5,5,15,112,0,0,"2022-05-18 10:57:44","2022-09-01 01:40:07"
127,2,7,"Omena Cup(s). ","1653962838.png",8,1,0,0,35,0,50,0,17.12,1,"2022-05-30 21:07:18","2023-06-13 13:13:34"
128,8,7,"Semolina Flour Pkt(s)","1656525511.png",4,1,0,0,150,0,195,20,11.8205,1,"2022-06-29 12:58:31","2023-06-12 13:05:10"
132,9,1,"Rosemary Bunches","1660543769.png",17,1,0,0,5,0,20,4,0,1,"2022-08-15 01:09:29","2023-01-10 14:35:17"
133,3,7,"Red/Yel Caps Big Pc(s)","1660929233.png",13,1,0,0,23,0,50,1,0.22857,1,"2022-08-19 12:13:53","2023-06-01 06:12:44"
137,2,10,"Titus Fish Kilogram(s)","1661020722.png",10,1,0,0,260,0,760,10,14.1934,2,"2022-08-20 13:38:42","2023-06-13 11:55:57"
142,6,7,"Lime Pieces","1661624689.png",13,1,0,0,4,0,10,15,0,2,"2022-08-27 13:24:49","2022-09-15 08:34:59"
143,3,1,"1/2Sukuma(Kales)Bunches","1661956287.png",17,1,0,0,5,0,10,1,-1,0,"2022-08-31 09:31:27","2023-03-09 04:55:44"
144,3,1,"1/2 Spinach Bunches","1661956346.png",17,1,0,0,10,0,20,1,0,0,"2022-08-31 09:32:26","2023-05-31 08:33:48"
145,9,1,"Bottled Chilli (160gms)","1662187834.png",19,1,0,0,150,0,240,6,3,2,"2022-09-03 01:50:34","2023-06-05 10:56:33"
146,3,7,"Potatoes Kilogram(s)","1666974768.png",10,1,0,0,60,0,120,1,141.215,0,"2022-10-28 11:32:48","2023-06-13 11:57:34"
147,3,7,"Organic Garlic Pieces","1668623152.png",13,1,0,0,7,0,25,26,0,2,"2022-11-16 12:25:52","2023-04-10 04:24:38"
148,9,16,"Lasor spice Sachets","1671801708.png",7,1,0,0,40,0,80,74,20.75,5,"2022-12-23 07:21:48","2023-06-03 10:24:09"
149,9,16,"Utazi(Bitter leaf) Sachets","1671801884.png",7,1,0,0,75,0,150,20,0.666667,0,"2022-12-23 07:24:44","2023-04-07 12:54:27"
150,2,16,"Cray Fish (Large) Jar(s)","1671802021.png",19,1,0,0,300,0,700,5,8.44286,1,"2022-12-23 07:27:01","2023-06-12 12:28:20"
151,2,16,"Cray Fish (Small) Jar(s)","1671802143.png",19,1,0,0,230,0,350,10,4,2,"2022-12-23 07:29:03","2023-06-11 12:14:53"
152,2,16,"Stock Fish Packs","1671802412.png",3,1,0,0,113,0,500,6,31.9,4,"2022-12-23 07:33:32","2023-06-13 11:55:57"
153,9,16,"Egusi seeds (Lg) Jar(s)","1671802741.png",19,1,0,0,300,0,700,7,4.2,1,"2022-12-23 07:39:01","2023-06-10 07:50:25"
154,3,1,"Spinach Bunches","1672198442.png",17,1,0,0,10,0,20,35,15.5333,0,"2022-12-27 21:34:02","2023-06-13 13:19:10"
155,3,7,"White onions Kg(s)","1672200458.png",10,1,0,0,90,0,150,10,1115.05,2,"2022-12-27 22:07:38","2023-06-12 12:58:02"
156,2,7,"Cat Fish (Sml) Packs","1673175265.png",3,1,0,0,360,0,600,3,7.13049,1,"2023-01-08 04:54:25","2023-06-09 07:57:00"
157,3,7,"Broccoli Pieces","1674913279.png",13,1,0,0,55,0,100,3,3,1,"2023-01-28 07:41:19",NULL
158,3,1,"Cremini Mushrooms Punnet(s)","1674978065.png",18,1,0,0,100,0,180,7,6,1,"2023-01-29 01:41:05","2023-01-29 04:26:25"
159,9,16,"Palm Oil Half Litre(s)","1679218516.png",2,1,0,0,300,0,700,2,3.64286,2,"2023-03-19 04:35:16","2023-06-12 13:00:22"
160,2,7,"Fried Omena Punnet(s)","1681633600.png",18,1,0,0,200,0,250,3,2,1,"2023-04-16 03:26:40","2023-05-01 09:31:56"
161,9,16,"Egusi seeds (Sm) Jar(s)","1681633749.png",19,1,0,0,216,0,350,1,1,1,"2023-04-16 03:29:09","2023-06-13 07:41:14"
162,2,7,"Cat Fish (Med) Packs","1684061230.png",3,1,0,0,400,0,700,4,3.28571,2,"2023-05-14 05:47:10","2023-06-05 07:40:01"
163,2,7,"Cat Fish (Lg) Packs","1684061311.png",3,1,0,0,600,0,1000,1,0.5,1,"2023-05-14 05:48:31","2023-05-21 10:25:21"
